FundID,FundName,FundStyle,GeoMandate,Beta,AUM,AUM_Increase,pAlphaSrp_3yr
5584,Graham Global Investment Fund Ltd - Proprietary Matrix Series A,Multi-Strategy,Global,-0.0391053444948361,957000000,1,0.753773132632188
5701,Providence MBS Offshore Fund Ltd,Fixed Income,North America,0.0654101206248771,1650000000,1,2.39448080935492
5776,Sandler Offshore Fund,Long Short Equities,North America,0.0216791469238835,109000000,1,3.04472135763943
5793,Gruss Global Investors Ltd - Class A USD,Multi-Strategy,Global,0.134715163728337,654000000,1,0.844187017605723
5794,Gruss Offshore Arbitrage Fund Ltd - Class A USD,Arbitrage,Global,0.112104230723778,167000000,1,0.782349605268116
5798,Haidar Jupiter International Ltd,Macro,Global,0.154174619476431,145000000,1,1.44392391569815
5852,IIG Trade Opportunities Fund NV - Class A Investor Shares,Others,Global,0.00532976233954478,330000000,1,36.0191715781607
5866,Twin Offshore Ltd,Event Driven,North America,0.154874943968349,217000000,1,1.12292386512629
5924,Bridgewater Pure Alpha 12% Volatility Strategy,Multi-Strategy,Global,-0.115137522952621,9747999740,1,2.51262270125119
5944,Lynx Fund I (Master Fund) Ltd,Fixed Income,North America,0.0444335914778817,173000000,1,2.50717575089044
5958,AlphaBridge Fixed Income Fund Ltd,Fixed Income,North America,0.0238782895822852,135000000,1,4.22951456204487
6036,Gabelli Associates Fund LP,Arbitrage,North America,0.140278442314316,217000000,1,1.01544740352414
6112,Gruss Global Investors LP - Class A USD,Multi-Strategy,Global,0.134593148277888,306000000,1,0.860571961272002
6152,MKP Credit LP,Fixed Income,Global,0.0454696106510358,2169999870,1,0.882625818461152
6293,NuWave Investment Partners LP,CTA/Managed Futures,Global,-0.48372843845209,293000000,1,0.828162924770138
6320,Haidar Jupiter Fund LLC,Macro,Global,0.15426648063173,145000000,1,1.43810267236228
6503,Sandler Associates,Long Short Equities,North America,0.0219475659206663,377000000,1,3.10675566785156
6534,Spectrum Global Diversified Program,CTA/Managed Futures,North America,-0.087461852880577,265000000,1,1.0003638373744
6540,KWK Partners LP,Arbitrage,North America,0.0283236319669348,152000000,1,7.58651350404871
6735,Brookdale International Partners LP,Arbitrage,Global,0.070768716097144,804000000,1,1.19297788716463
6856,Brookdale Global Opportunity Fund,Arbitrage,Global,0.0690183803880054,371000000,1,1.18849008382047
