FundID,FundName,FundStyle,GeoMandate,Beta,AUM,AUM_Increase,pAlphaSrp_3yr
5573,Mondiale Trading Program 1X,CTA/Managed Futures,Global,0.0154218040984214,438000000,1,1.43698286947436
5584,Graham Global Investment Fund Ltd - Proprietary Matrix Series A,Multi-Strategy,Global,0.0451279629456447,974000000,1,0.835785839742441
5724,Hyman Beck & Co - Global Portfolio,CTA/Managed Futures,North America,-0.258496591009956,181000000,1,0.939235071551775
5725,Owl Creek Overseas Fund Ltd,Event Driven,Global,0.237987309483236,1842000000,1,1.7383233146997
5776,Sandler Offshore Fund,Long Short Equities,North America,0.0386067024432136,143000000,1,0.947712392962394
5793,Gruss Global Investors Ltd - Class A USD,Multi-Strategy,Global,0.145845563461686,523000000,1,1.17851472042925
5798,Haidar Jupiter International Ltd,Macro,Global,0.156664502064278,395000000,1,0.849326203282505
5852,IIG Trade Opportunities Fund NV - Class A Investor Shares,Others,Global,0.00173987074416886,244000000,1,6.38860914851799
5924,Bridgewater Pure Alpha 12% Volatility Strategy,Multi-Strategy,Global,-0.0709107826824459,9630000130,1,1.52027358934478
6043,Midway Market Neutral Fund LLC,Fixed Income,North America,0.228540156239199,783000000,1,1.1829236798069
6050,Malta Hedge Fund II LP,Long Short Equities,North America,0.247978740613061,539000000,1,1.406982051843
6112,Gruss Global Investors LP - Class A USD,Multi-Strategy,Global,0.145749303096755,249000000,1,1.21996993374646
6152,MKP Credit LP,Fixed Income,Global,0.0745195785443011,3542000130,1,1.92620262892324
6300,Owl Creek II LP,Event Driven,Global,0.219127225245331,833000000,1,1.98792224452733
6320,Haidar Jupiter Fund LLC,Macro,Global,0.15656683117823,395000000,1,0.848296712861041
6503,Sandler Associates,Long Short Equities,North America,0.039699278671462,215000000,1,1.01766426592375
6540,KWK Partners LP,Arbitrage,North America,0.0176618361467654,172000000,1,5.3111300331032
6735,Brookdale International Partners LP,Arbitrage,Global,0.0610628649460649,639000000,1,2.88898568174219
6759,Caymus Energy Fund LP,Long Short Equities,North America,0.152772115038095,130000000,1,1.26926596749686
6760,CCI Healthcare Partners Diversified LP,Long Short Equities,North America,0.232436650837991,406000000,1,1.06906998812645
6856,Brookdale Global Opportunity Fund,Arbitrage,Global,0.0586920673966036,260000000,1,3.59887106569827
6940,AlphaQuest Original (AQO) Program,CTA/Managed Futures,Global,-0.161329815696085,130000000,1,1.07850695252401
6999,FORT Global Diversified LP,Macro,Global,-0.120604211264767,332000000,1,0.860809940795186
7042,Wexford Offshore Credit Opportunities Fund Ltd,Distressed Debt,Global,0.245675013742066,120000000,1,1.33384979935055
7043,Wexford Credit Opportunities Fund LP,Distressed Debt,Global,0.245791346434758,120000000,1,1.49447005996717
7216,Parallax Fund LP,Relative Value,Global,-0.278915092098263,552000000,1,1.57371529311949
7222,Platinum Partners Value Arbitrage Fund (USA) LP,Multi-Strategy,Global,0.0828209146512286,802000000,1,1.5444493996208
7331,Midway Market Neutral International Fund,Fixed Income,North America,0.228540156239199,783000000,1,1.1829236798069
7334,MKP Opportunity Offshore Ltd,Macro,Global,-0.0595513042889641,3576000000,1,0.977394368678426
7352,Platinum Partners Value Arbitrage Fund (International) Ltd,Multi-Strategy,Global,0.0829469562384613,802000000,1,1.53970202176165
7413,Equilibria Japan Fund Ltd - USD,Long Short Equities,Japan,0.111205453191475,185000000,1,0.881435821860907
7762,Russell Clark Global Fund Ltd (Class A) - USD,Long Short Equities,Global,-0.118753141125298,682000000,1,1.29331663159523
7915,The Winton Fund Ltd - Tranche B (USD),Multi-Strategy,Global,-0.0299209169390195,12099999700,1,0.934158175876039
8125,Lyxor Epsilon Managed Futures - Class A USD,CTA/Managed Futures,Global,-0.0872195025213651,127000000,1,0.896073829196489
8666,North MaxQ Macro Fund - Class A USD,Macro,Global,-0.134696155704414,872000000,1,1.51982049527972
8934,Maga Smaller Companies Fund Ltd - Class A USD,Long Short Equities,Europe,0.165012477061815,334000000,1,1.43546501642302
9328,The Cassiopeia Fund - Class B USD,Relative Value,Global,-0.00314605466141848,282000000,1,0.892402918697603
9478,Oceanic Hedge Fund - Class A,Long Short Equities,Global,0.0675551392844935,850000000,1,1.60224345120175
9513,Janus Henderson Octanis Fund - Class A USD,Long Short Equities,Global,0.0657516613473068,134000000,1,2.30805875558334
10074,The Merchant Commodity Fund,CTA/Managed Futures,Global,-0.127913743250073,231000000,1,1.08797544246504
10317,Sofaer Capital Asian Hedge Fund - B,Long Short Equities,Asia ex Japan,0.106607019597792,120000000,1,0.786843129415928
10339,LIM Japan Event Fund - USD Series 1,Multi-Strategy,Japan,0.212299025656559,223000000,1,0.79700565119607
10351,Marathon Vertex Japan Fund Ltd - Class B USD,Long Short Equities,Japan,0.106797935691532,493000000,1,1.16938776563286
10458,AlphaGen Hokuto Fund - USD,Long Short Equities,Japan,0.0513904149660259,221000000,1,0.959243654344043
14228,Atlas Global Investments Ltd,Multi-Strategy,North America,0.108231895158865,1830000000,1,1.98620515251154
14408,Mariner Partners LP,Multi-Strategy,Global,0.244469506615483,727000000,1,0.908439165088546
14425,Paloma Partners LLC,Multi-Strategy,Global,0.162366868894314,2888999940,1,3.05458507762447
14491,GAM Talentum Enhanced Europe Long/Short Fund - USD B,Long Short Equities,Europe,0.072412591273678,377000000,1,1.26753400894642
15541,Graham Global Investment Fund II SPC Ltd - Proprietary Matrix Segregated Portfolio Series A,Multi-Strategy,Global,0.0451279629456447,974000000,1,0.835785839742441
15849,Finisterre Global Opportunity Fund,Multi-Strategy,Emerging Markets,0.208534046973089,879000000,1,1.67326400440036
16067,Kohinoor Series Three Fund - Class B USD,Macro,Global,-0.346919905213217,303000000,1,0.821182060031726
16698,Waterfall Eden Fund LP,Distressed Debt,Global,0.0264348913361441,1308999940,1,4.51193194291915
17486,Macquarie Asian Alpha Fund - Class A USD,Long Short Equities,Asia inc Japan,0.13781092765493,1380999940,1,0.855205594391459
17492,LH Asian Trade Finance Fund Ltd - Class A,Others,Asia ex Japan,0.00262529912050876,225000000,1,20.5713577883693
17519,Regal Amazon Market Neutral Fund,Relative Value,Global,0.155898573649722,396000000,1,0.927087806142993
17606,Hudson Bay International Fund Ltd,Multi-Strategy,Global,0.0290188181554641,2623000060,1,0.755267846068586
17607,Hudson Bay Fund LP,Multi-Strategy,Global,0.0128365162818098,643000000,1,0.872630640034142
18073,Tenor Opportunity Fund,Arbitrage,North America,0.212109099138087,301000000,1,1.43017627447112
18606,Sector Healthcare Fund - Class A USD,Long Short Equities,Global,0.0579143125162563,381000000,1,1.25881483683989
19170,MKP Credit Offshore Ltd,Fixed Income,Global,0.0745195785443011,3542000130,1,1.92620262892324
20076,Simplex Value Up Trust - USD Unhedged,Bottom-Up,Japan,0.132066486073763,488000000,1,1.1550520472716
21408,Tairen China Fund,Long Short Equities,Greater China,-0.296023311097342,360000000,1,1.41978933470416
22848,Waterfall Eden Fund Ltd,Distressed Debt,Global,0.0272521032269391,1308999940,1,4.70932373853177
23024,Sandler Plus Domestic Fund LP,Long Short Equities,North America,0.0987112291947644,179000000,1,0.872871125440396
23025,Sandler Plus Offshore Fund Ltd,Long Short Equities,North America,0.0976354003031456,101000000,1,0.834310311715471
23108,Sio Partners LP,Long Short Equities,North America,0.102543230215976,212000000,1,1.73358755575443
23832,MNJ Asia-Pacific Absolute Return Fund,Long Short Equities,Asia inc Japan,0.0550013116158109,521000000,1,1.94048109783114
25223,Segantii Asia-Pacific Equity Multi-Strategy Fund,Multi-Strategy,Asia inc Japan,-0.0412210750272545,1160000000,1,1.38739966282338
25442,Harvest Small Cap Partners,Long Short Equities,North America,-0.0557571872569311,366000000,1,1.72088827892593
26256,BayCity Long-Short Credit (Offshore) Fund Ltd,Fixed Income,Global,0.0360536527699863,463000000,1,2.82879081471916
26915,DUNN World Monetary and Agriculture (WMA) Program,CTA/Managed Futures,Global,-0.401480266628368,431000000,1,1.15023690780333
26954,Revolution Capital Management Alpha Program,CTA/Managed Futures,Global,-0.128769875439011,150000000,1,1.23659727753874
27047,Waterfall Victoria Fund LP,Distressed Debt,Global,0.0170729059210507,280000000,1,4.416609578388
27049,Waterfall Victoria Fund Ltd,Distressed Debt,Global,0.0243079879580339,280000000,1,4.0715896037628
27258,AAM Absolute Return Fund Plc - USD,Long Short Equities,Global,-0.171240521282209,214000000,1,1.16184819058694
27501,The Kawa Offshore Feeder Fund,Multi-Strategy,Global,0.0538744418672151,301000000,1,2.19170699710731
27679,Gruss Global Investors (Enhanced) Ltd - Class A USD,Multi-Strategy,Global,0.159567203477272,913000000,1,1.53385555501996
27680,Gruss Global Investors (Enhanced) LP - Class A USD,Multi-Strategy,Global,0.159967794560378,381000000,1,1.56470257486683
27712,Green Court Greater China Long/Short Equity Fund Ltd,Long Short Equities,Greater China,0.0890957520721042,275000000,1,1.48867338742161
27938,Platinum Partners Credit Opportunities Fund International Ltd,Others,North America,-0.017213959366067,298000000,1,21.0613836489418
28209,W Financial Fund LP,Others,North America,0.0224710875168562,210000000,1,19.6170002592581
28215,Victory Arcadia Fund - Class A USD,Others,Global,0.00550118473027385,275000000,1,3.38870081426657
28523,UMJ Kotoshiro Fund - USD,Long Short Equities,Japan,0.128431732471809,226000000,1,1.69668302804528
28538,CS IRIS Low Volatility - QI USD,Others,Global,0.0183418769733134,1552999940,1,5.0906454924369
28543,CS IRIS Balanced - QI USD,Others,Global,0.038152770044963,908000000,1,1.95750208714344
