FundID,FundName,FundStyle,GeoMandate,Beta,AUM,AUM_Increase,pAlphaSrp_3yr
5573,Mondiale Trading Program 1X,CTA/Managed Futures,Global,0.0256813972513211,549000000,1,0.783701065920718
5724,Hyman Beck & Co - Global Portfolio,CTA/Managed Futures,North America,-0.242066879719949,175000000,1,0.844164538229542
5776,Sandler Offshore Fund,Long Short Equities,North America,0.0405336371275957,107000000,1,0.826232847736567
6043,Midway Market Neutral Fund LLC,Fixed Income,North America,0.214303362956244,468000000,1,0.991999478821793
6357,Quantitative Global Program,CTA/Managed Futures,Global,-0.0294162824139286,1779000060,1,0.965093837813006
6503,Sandler Associates,Long Short Equities,North America,0.0415946915884727,167000000,1,0.889246171676861
6540,KWK Partners LP,Arbitrage,North America,0.0175310775917849,199000000,1,4.87865924259083
6735,Brookdale International Partners LP,Arbitrage,Global,0.059200169540002,706000000,1,2.85190450917181
6759,Caymus Energy Fund LP,Long Short Equities,North America,0.128987022227009,138000000,1,1.00133302379328
6856,Brookdale Global Opportunity Fund,Arbitrage,Global,0.0538781958518413,427000000,1,2.70672684803382
6940,AlphaQuest Original (AQO) Program,CTA/Managed Futures,Global,-0.155972805267876,827000000,1,0.752167149963344
7216,Parallax Fund LP,Relative Value,Global,-0.268330014981557,800000000,1,2.0424600845185
7331,Midway Market Neutral International Fund,Fixed Income,North America,0.214303362956244,468000000,1,0.991999478821793
8858,Stratus Fund Ltd - Class B Shares (USD Standard Leverage),Multi-Strategy,Global,0.0448485345073176,238000000,1,0.998027616577338
9399,Beach Horizon Fund Ltd - USD,CTA/Managed Futures,Global,-0.303484443878025,105000000,1,1.18283945735672
9457,Stratus Fund Ltd - Class C Shares (USD 1.5x Leverage),Multi-Strategy,Global,0.0838431540087216,238000000,1,0.99363160126242
9513,Janus Henderson Octanis Fund - Class A USD,Long Short Equities,Global,0.0752733374599965,138000000,1,0.872146932035352
10074,The Merchant Commodity Fund,CTA/Managed Futures,Global,-0.0776292998768095,225000000,1,0.965178381262053
14425,Paloma Partners LLC,Multi-Strategy,Global,0.146621332521581,5527000060,1,2.33271984656095
15849,Finisterre Global Opportunity Fund,Multi-Strategy,Emerging Markets,0.198372292145809,1448999940,1,1.25092595735812
16685,Quantitative Global 3x Fund LLC,CTA/Managed Futures,Global,-0.115548980449143,273000000,1,0.999814177988695
16698,Waterfall Eden Fund LP,Distressed Debt,Global,0.0381507134074641,2344000000,1,1.55181890596654
17492,LH Asian Trade Finance Fund Ltd - Class A,Others,Asia ex Japan,0.00232658798307885,367000000,1,11.8853025329658
18073,Tenor Opportunity Fund,Arbitrage,North America,0.196050756685002,556000000,1,1.66852361595447
18606,Sector Healthcare Fund - Class A USD,Long Short Equities,Global,0.0543241213781439,618000000,1,1.81345033619343
21862,Millburn Multi-Markets Trading LP,CTA/Managed Futures,Global,-0.108163116915493,233000000,1,1.48433736206097
22848,Waterfall Eden Fund Ltd,Distressed Debt,Global,0.0407410056418357,2344000000,1,1.80948976536968
23024,Sandler Plus Domestic Fund LP,Long Short Equities,North America,0.0991896784555685,209000000,1,0.815333844104953
23025,Sandler Plus Offshore Fund Ltd,Long Short Equities,North America,0.0987252932254288,155000000,1,0.776935006888537
25223,Segantii Asia-Pacific Equity Multi-Strategy Fund,Multi-Strategy,Asia inc Japan,-0.0207387942908409,1923000060,1,1.47946965648235
25442,Harvest Small Cap Partners,Long Short Equities,North America,-0.078495366445835,449000000,1,1.63985708453744
26387,Pinpoint Multi-Strategy Master Fund - Class A,Multi-Strategy,Asia inc Japan,0.175577376344488,336000000,1,1.0997473773612
26954,Revolution Capital Management Alpha Program,CTA/Managed Futures,Global,-0.112132921234247,455000000,1,0.966025814653019
27047,Waterfall Victoria Fund LP,Distressed Debt,Global,0.0119423682023532,705000000,1,3.97843522395897
27049,Waterfall Victoria Fund Ltd,Distressed Debt,Global,0.0196437216285886,705000000,1,3.71124493513248
27258,AAM Absolute Return Fund Plc - USD,Long Short Equities,Global,-0.207296728177098,201000000,1,1.3947867710945
27501,The Kawa Offshore Feeder Fund,Multi-Strategy,Global,0.0755954764143532,259000000,1,1.21761024777109
27712,Green Court Greater China Long/Short Equity Fund Ltd,Long Short Equities,Greater China,0.164911227494062,165000000,1,0.867532287694645
28209,W Financial Fund LP,Others,North America,0.0189914240974081,252000000,1,20.4858910579004
28215,Victory Arcadia Fund - Class A USD,Others,Global,-0.0158562595446959,510000000,1,3.5953531764109
28523,UMJ Kotoshiro Fund - USD,Long Short Equities,Japan,0.183338551390156,304000000,1,0.868607149703002
28538,CS IRIS Low Volatility - QI USD,Others,Global,0.0144417295096025,1503000060,1,5.28239393003208
28543,CS IRIS Balanced - QI USD,Others,Global,0.0261785838967675,1424999940,1,4.01605940901031
28558,CS IRIS Enhanced - QI USD,Others,Global,0.0591718885682199,267000000,1,2.00756946956355
29307,Securis I Fund,Others,Global,-0.0216383091878306,1580999940,1,3.70339146794057
29326,Renaissance Institutional Equities Fund,Long Short Equities,North America,0.236884389150675,14935000100,1,0.974953800245752
29477,400 Capital Credit Opportunities Fund LP,Fixed Income,Global,0.107542732518086,1022000000,1,0.870139835240171
29488,The Cambridge Strategy - Emerging Markets Currency Alpha Programme,Multi-Strategy,Emerging Markets,0.0100852438465604,122000000,1,0.762633539530718
29495,Millburn Multi-Markets Ltd,CTA/Managed Futures,Global,0.113137639542881,233000000,1,1.11968066994679
29751,SPM Structured Servicing Holdings,Fixed Income,North America,0.0473310178896394,916000000,1,0.814212411340522
29753,MBS Agency Fund,Fixed Income,North America,0.105331934608601,630000000,1,1.15675312259618
29755,SPM Core,Fixed Income,North America,0.0775595223760624,642000000,1,0.997761206046135
30145,Luxembourg Life Fund - Long Term Growth Fund - A Class,Fixed Income,Global,-0.0535449172646495,466000000,1,12.9988527953219
30218,Parallax Offshore Investors Fund Ltd,Relative Value,Global,-0.128045026372759,1062000000,1,0.905621965026076
30354,Leadenhall Diversified Insurance Linked Investments Fund Plc - Class C USD,Others,Global,0.0147683595363539,575000000,1,2.40087231856815
30355,Leadenhall Value Insurance Linked Investments Fund Plc - Class C USD,Others,Global,0.015773619585502,853000000,1,3.56671443214852
30414,Akito Fund USD - Class A Series 1,Long Short Equities,Japan,-0.00796475333380581,972000000,1,2.84340721216771
30705,Barak Structured Trade Finance Fund,Fixed Income,Middle East & Africa,-0.000626827731055299,343000000,1,23.7745639495409
31074,Dorsal Capital Partners LP,Long Short Equities,North America,0.115381913420559,2036000000,1,1.8252466923647
