FundID,FundName,FundStyle,GeoMandate,Beta,AUM,AUM_Increase,pAlphaSrp_3yr
5798,Haidar Jupiter International Ltd,Macro,Global,0.0794086743939659,685000000,1,1.26628086116922
6320,Haidar Jupiter Fund LLC,Macro,Global,0.0794044232984034,685000000,1,1.2664952591535
6503,Sandler Associates,Long Short Equities,North America,0.0282087711983741,101000000,1,0.965775446375918
6735,Brookdale International Partners LP,Arbitrage,Global,0.055715082384286,1168000000,1,4.29698777489446
6856,Brookdale Global Opportunity Fund,Arbitrage,Global,0.0510657372496409,485000000,1,4.75364900102492
7216,Parallax Fund LP,Relative Value,Global,-0.242801032817329,1222000000,1,0.87253896171234
7728,OCCO Eastern European Fund - Class A USD,Long Short Equities,Emerging Markets,0.165948263244362,376000000,1,0.828631220335127
8139,1798 Volantis Fund Ltd A USD,Long Short Equities,Europe,0.246763801578191,370000000,1,0.859628373760093
14408,Mariner Partners LP,Multi-Strategy,Global,0.214683460152188,690000000,1,1.25891171227681
14425,Paloma Partners LLC,Multi-Strategy,Global,0.128135959775687,4822000130,1,1.053432008323
16698,Waterfall Eden Fund LP,Distressed Debt,Global,0.0312661422910967,3143000060,1,3.68749253534396
17492,LH Asian Trade Finance Fund Ltd - Class A,Others,Asia ex Japan,0.00200853241044782,180000000,1,7.90594839823644
17606,Hudson Bay International Fund Ltd,Multi-Strategy,Global,0.0304399268793646,2831000060,1,1.99953246181199
17607,Hudson Bay Fund LP,Multi-Strategy,Global,0.0154023271828115,719000000,1,2.2859452589883
18073,Tenor Opportunity Fund,Arbitrage,North America,0.179378840488063,958000000,1,1.35680031866416
20076,Simplex Value Up Trust - USD Unhedged,Bottom-Up,Japan,0.202302493233387,620000000,1,1.217774263026
21027,1798 Volantis Fund Ltd D USD,Long Short Equities,Europe,0.248005119372771,370000000,1,0.849127584593857
22848,Waterfall Eden Fund Ltd,Distressed Debt,Global,0.0340155587443283,3177999870,1,3.71524581258569
23024,Sandler Plus Domestic Fund LP,Long Short Equities,North America,0.0683359272334606,306000000,1,1.08184712954846
23025,Sandler Plus Offshore Fund Ltd,Long Short Equities,North America,0.0697105399968503,270000000,1,1.27327424033358
23108,Sio Partners LP,Long Short Equities,North America,0.0681713821984492,400000000,1,1.26335598798667
25223,Segantii Asia-Pacific Equity Multi-Strategy Fund,Multi-Strategy,Asia inc Japan,-0.02531902464169,3500000000,1,1.23467131096565
26387,Pinpoint Multi-Strategy Master Fund - Class A,Multi-Strategy,Asia inc Japan,0.139273434753213,873000000,1,1.57277607721666
27047,Waterfall Victoria Fund LP,Distressed Debt,Global,0.0105615448249193,1614000000,1,3.82651389511124
27049,Waterfall Victoria Fund Ltd,Distressed Debt,Global,0.0169520794122271,1614000000,1,3.8630555186899
27501,The Kawa Offshore Feeder Fund,Multi-Strategy,Global,0.0781627660487509,392000000,1,1.15215891577159
28209,W Financial Fund LP,Others,North America,0.0170229098783294,298000000,1,15.207575506112
28215,Victory Arcadia Fund - Class A USD,Others,Global,-0.0165896087517802,691000000,1,1.36521639152785
29477,400 Capital Credit Opportunities Fund LP,Fixed Income,Global,0.107646392014093,1772000000,1,3.98254719518166
30145,Luxembourg Life Fund - Long Term Growth Fund - A Class,Fixed Income,Global,-0.0402341655850823,1572000000,1,11.8025065913579
