FundID,FundName,FundStyle,GeoMandate,Beta,AUM,AUM_Increase,pAlphaSrp_3yr
5584,Graham Global Investment Fund Ltd - Proprietary Matrix Series A,Multi-Strategy,Global,-0.0434049294450741,765000000,1,1.06379856112207
5701,Providence MBS Offshore Fund Ltd,Fixed Income,North America,0.0629375849723922,1392999940,1,2.99335566486093
5793,Gruss Global Investors Ltd - Class A USD,Multi-Strategy,Global,0.136387026222019,670000000,1,1.12695621372162
5794,Gruss Offshore Arbitrage Fund Ltd - Class A USD,Arbitrage,Global,0.113463315446417,205000000,1,1.15752372413131
5798,Haidar Jupiter International Ltd,Macro,Global,0.217007282576932,119000000,1,1.58931616861845
5852,IIG Trade Opportunities Fund NV - Class A Investor Shares,Others,Global,0.00586996820540358,339000000,1,38.013864675091
5866,Twin Offshore Ltd,Event Driven,North America,0.15865602520912,196000000,1,0.968368149605003
5924,Bridgewater Pure Alpha 12% Volatility Strategy,Multi-Strategy,Global,-0.116031010621489,10279999500,1,2.23067555375242
5944,Lynx Fund I (Master Fund) Ltd,Fixed Income,North America,0.0457667602440653,187000000,1,3.43235359134328
5958,AlphaBridge Fixed Income Fund Ltd,Fixed Income,North America,0.0253478149906466,163000000,1,4.81157473645598
6036,Gabelli Associates Fund LP,Arbitrage,North America,0.142989783193088,212000000,1,1.3398097418321
6112,Gruss Global Investors LP - Class A USD,Multi-Strategy,Global,0.136417281142369,460000000,1,1.14199728631176
6152,MKP Credit LP,Fixed Income,Global,0.0376508845127203,2528999940,1,1.20372474076565
6320,Haidar Jupiter Fund LLC,Macro,Global,0.217086694871297,119000000,1,1.58242234303644
6503,Sandler Associates,Long Short Equities,North America,0.0197717495120283,361000000,1,2.87849114898494
6534,Spectrum Global Diversified Program,CTA/Managed Futures,North America,-0.0421159593382463,260000000,1,1.15594617171294
6540,KWK Partners LP,Arbitrage,North America,0.0287491135121169,141000000,1,8.12853730111069
6640,Argonaut Macro Partnership LP,Macro,North America,-0.117295789871532,381000000,1,0.955100551143026
6717,Blackthorn Partners LP,Multi-Strategy,North America,0.0526059200364864,268000000,1,0.846860136570057
6735,Brookdale International Partners LP,Arbitrage,Global,0.0774032529940298,861000000,1,2.04042613002141
6856,Brookdale Global Opportunity Fund,Arbitrage,Global,0.0741583441208004,356000000,1,2.04825628920032
6892,Twin Securities LP,Event Driven,North America,0.155133692098229,196000000,1,1.09062801940292
6997,FORT Global Contrarian LP,CTA/Managed Futures,Global,0.0185872912273372,124000000,1,1.29143366563129
7216,Parallax Fund LP,Relative Value,Global,-0.307471167168618,227000000,1,1.14626187527203
7222,Platinum Partners Value Arbitrage Fund (USA) LP,Multi-Strategy,Global,0.135147162915167,685000000,1,5.22585761551824
