FundID,FundName,FundStyle,GeoMandate,Beta,AUM,AUM_Increase,pAlphaSrp_3yr
5573,Mondiale Trading Program 1X,CTA/Managed Futures,Global,0.000738097622054653,172000000,1,0.901777957125577
5698,GMO Systematic Global Macro Strategy Fund,CTA/Managed Futures,Global,-0.019339432078149,529000000,1,1.12832885798606
5701,Providence MBS Offshore Fund Ltd,Fixed Income,North America,0.0472379830257751,1440000000,1,1.53740652347166
5725,Owl Creek Overseas Fund Ltd,Event Driven,Global,0.209153955491701,1968000000,1,1.02293107320072
5776,Sandler Offshore Fund,Long Short Equities,North America,0.030084210883568,143000000,1,1.81651388962439
5793,Gruss Global Investors Ltd - Class A USD,Multi-Strategy,Global,0.137684993742806,581000000,1,0.927899920277101
5798,Haidar Jupiter International Ltd,Macro,Global,0.164492819911075,180000000,1,1.22396222897672
5852,IIG Trade Opportunities Fund NV - Class A Investor Shares,Others,Global,0.00470051556704119,312000000,1,37.9133401561791
5866,Twin Offshore Ltd,Event Driven,North America,0.145869814623457,327000000,1,1.3465043017999
5924,Bridgewater Pure Alpha 12% Volatility Strategy,Multi-Strategy,Global,-0.0991648471086542,10682999800,1,1.92135926852645
6043,Midway Market Neutral Fund LLC,Fixed Income,North America,0.237721576125732,568000000,1,2.25760906921323
6112,Gruss Global Investors LP - Class A USD,Multi-Strategy,Global,0.13758690384628,320000000,1,0.954424336138124
6152,MKP Credit LP,Fixed Income,Global,0.0713325639418648,2385999870,1,1.04600617937362
6300,Owl Creek II LP,Event Driven,Global,0.192513130048118,804000000,1,1.06765428370867
6320,Haidar Jupiter Fund LLC,Macro,Global,0.164485473892999,180000000,1,1.22214963161976
6503,Sandler Associates,Long Short Equities,North America,0.0301571517897546,406000000,1,1.86199283967426
6540,KWK Partners LP,Arbitrage,North America,0.0221091802309219,158000000,1,5.26074486050613
6735,Brookdale International Partners LP,Arbitrage,Global,0.0672878600781598,730000000,1,0.750150033481217
6760,CCI Healthcare Partners Diversified LP,Long Short Equities,North America,0.215160173387943,116000000,1,1.37036301117818
6856,Brookdale Global Opportunity Fund,Arbitrage,Global,0.0661542977350994,314000000,1,0.921613834223038
6892,Twin Securities LP,Event Driven,North America,0.14242245141043,327000000,1,1.40270998961957
6999,FORT Global Diversified LP,Macro,Global,-0.154313881969946,176000000,1,0.972145813485076
7216,Parallax Fund LP,Relative Value,Global,-0.294115848458304,375000000,1,1.33769302968913
7222,Platinum Partners Value Arbitrage Fund (USA) LP,Multi-Strategy,Global,0.114780215725829,750000000,1,4.03044867743206
7331,Midway Market Neutral International Fund,Fixed Income,North America,0.237721576125732,568000000,1,2.25760906921323
7352,Platinum Partners Value Arbitrage Fund (International) Ltd,Multi-Strategy,Global,0.115042114489079,750000000,1,4.02216053868605
7446,Providence MBS Fund LP,Fixed Income,North America,0.0477330620768267,1440000000,1,1.53522095193999
7667,Forum Global Opportunities Fund Ltd,Macro,Global,-0.42832805370546,146000000,1,0.766053359871993
7728,OCCO Eastern European Fund - Class A USD,Long Short Equities,Emerging Markets,0.236898728173901,600000000,1,0.965578176070071
7762,Russell Clark Global Fund Ltd (Class A) - USD,Long Short Equities,Global,-0.102886434870001,152000000,1,0.8014721541707
7895,UFG Russia Select,Long Short Equities,Eastern Europe & Russia,-0.0536287098138142,138000000,1,1.35725366988583
8666,North MaxQ Macro Fund - Class A USD,Macro,Global,-0.160578249798119,580000000,1,1.71834833559035
8934,Maga Smaller Companies Fund Ltd - Class A USD,Long Short Equities,Europe,0.150119918174448,343000000,1,1.08464507528762
9085,Armajaro Commodities Fund - Class A USD,Macro,Global,0.159789007289848,958000000,1,0.868256358696315
9328,The Cassiopeia Fund - Class B USD,Relative Value,Global,0.00515412071741205,724000000,1,1.6188824800634
