FundID,FundName,FundStyle,GeoMandate,Beta,AUM,AUM_Increase,pAlphaSrp_3yr
5798,Haidar Jupiter International Ltd,Macro,Global,0.0602373023010664,548000000,1,0.934348483416118
6320,Haidar Jupiter Fund LLC,Macro,Global,0.0602313338879285,548000000,1,0.934065469619332
6735,Brookdale International Partners LP,Arbitrage,Global,0.0551569085672259,1159000060,1,4.16356776923625
6856,Brookdale Global Opportunity Fund,Arbitrage,Global,0.050706329219752,554000000,1,4.63828115337452
7216,Parallax Fund LP,Relative Value,Global,-0.242924131686392,1248000000,1,0.855943353199319
7728,OCCO Eastern European Fund - Class A USD,Long Short Equities,Emerging Markets,0.165635085529822,373000000,1,0.971474844721311
8139,1798 Volantis Fund Ltd A USD,Long Short Equities,Europe,0.248441817693809,450000000,1,0.949356027263006
14408,Mariner Partners LP,Multi-Strategy,Global,0.214754318991021,750000000,1,1.48775678551608
16698,Waterfall Eden Fund LP,Distressed Debt,Global,0.0305435044566772,3200000000,1,3.39871428906919
17492,LH Asian Trade Finance Fund Ltd - Class A,Others,Asia ex Japan,0.00242554379923139,159000000,1,6.80158895755114
17606,Hudson Bay International Fund Ltd,Multi-Strategy,Global,0.0303240085809316,3079000060,1,2.15324980568121
17607,Hudson Bay Fund LP,Multi-Strategy,Global,0.0151820701221866,869000000,1,2.38213635626059
18073,Tenor Opportunity Fund,Arbitrage,North America,0.178968265995087,1029000000,1,1.57099793824091
20076,Simplex Value Up Trust - USD Unhedged,Bottom-Up,Japan,0.207599128443789,688000000,1,1.33926420024549
21027,1798 Volantis Fund Ltd D USD,Long Short Equities,Europe,0.249781192040371,450000000,1,0.949332344050001
22848,Waterfall Eden Fund Ltd,Distressed Debt,Global,0.0333514012744552,3177999870,1,3.49202992011608
23024,Sandler Plus Domestic Fund LP,Long Short Equities,North America,0.0646355405265424,303000000,1,1.11705357693275
23025,Sandler Plus Offshore Fund Ltd,Long Short Equities,North America,0.0659588422809469,215000000,1,1.31554902810112
23108,Sio Partners LP,Long Short Equities,North America,0.0643514606710629,440000000,1,1.17227325858632
25223,Segantii Asia-Pacific Equity Multi-Strategy Fund,Multi-Strategy,Asia inc Japan,-0.026284883423441,3699000060,1,1.34279172751128
26387,Pinpoint Multi-Strategy Master Fund - Class A,Multi-Strategy,Asia inc Japan,0.139299200910375,925000000,1,1.62433978999246
27047,Waterfall Victoria Fund LP,Distressed Debt,Global,0.0109318082526966,1614000000,1,3.93891940405942
27049,Waterfall Victoria Fund Ltd,Distressed Debt,Global,0.0174654684292456,1614000000,1,3.91812657047877
27501,The Kawa Offshore Feeder Fund,Multi-Strategy,Global,0.0763611526062861,476000000,1,0.925068677826275
28209,W Financial Fund LP,Others,North America,0.0163099364917172,302000000,1,14.7571255065696
28215,Victory Arcadia Fund - Class A USD,Others,Global,-0.0171239685816576,694000000,1,1.54882055583177
29477,400 Capital Credit Opportunities Fund LP,Fixed Income,Global,0.105936441270788,1831000060,1,4.21450116309316
30145,Luxembourg Life Fund - Long Term Growth Fund - A Class,Fixed Income,Global,-0.0426867416908374,1572000000,1,12.9280958132182
30414,Akito Fund USD - Class A Series 1,Long Short Equities,Japan,0.014272900762591,1108999940,1,2.2871758740437
30705,Barak Structured Trade Finance Fund,Fixed Income,Middle East & Africa,0.00328991264408383,794000000,1,17.5077753314343
31034,400 Capital Credit Opportunities Fund Ltd,Relative Value,Global,0.133773582857187,1831000060,1,3.55111968058753
31062,LCJ FX Fund - Class A USD,Macro,Global,-0.0771689210576275,346000000,1,0.928531043353301
31225,MW Japan Market Neutral Fund - Class A USD,Long Short Equities,Japan,0.0493640144432333,1256999940,1,1.12786260468648
31340,Ancile Fund (Cayman) Ltd - Class B,Diversified Debt,Emerging Markets,0.00828515050199497,259000000,1,7.44478946025146
31570,Global Sigma Plus Program,CTA/Managed Futures,North America,-0.0162857357044554,374000000,1,5.14236732789351
31908,Glazer Enhanced Fund LP,Arbitrage,North America,0.0901911556911978,340000000,1,1.75502992629806
33186,KS Asia Absolute Return Fund IC,Multi-Strategy,Asia inc Japan,0.0757562924250596,836000000,1,3.72262851213051
33187,KS Korea Credit Fund -1 IC,Fixed Income,Korea,0.0556871768801789,375000000,1,1.92918878696735
33322,TT Mid-Cap Europe Long Short Fund - Class B USD,Long Short Equities,Europe,-0.0853721040763721,679000000,1,1.84458699811477
33349,Polar Capital European Forager Fund - B USD,Long Short Equities,Europe,0.180077767277691,245000000,1,0.946578095764857
33353,Polar Capital European Forager Fund - BY USD,Long Short Equities,Europe,0.180403867104905,245000000,1,1.06254224626656
33514,Sino Vision Greater China Market Neutral Fund,Long Short Equities,Greater China,0.0975819416265366,436000000,1,1.23947233798955
33590,Glazer Enhanced Offshore Fund Ltd,Arbitrage,North America,0.107719301646272,735000000,1,1.40978838888561
34097,Camden Bonds Plus Fund LLC,Fixed Income,North America,0.00232868526966277,401000000,1,1.28518676139857
34777,Waterfall Victoria ERISA Fund Ltd,Distressed Debt,Global,0.0278044310748854,1800000000,1,4.03458758925854
34824,Twin Tree Capital Partners LP,Relative Value,Global,-0.0490222139258218,615000000,1,1.10834193970811
35248,Lasker Fund Class A1 USD,Long Short Equities,Europe,0.126345006549965,808000000,1,1.89370230267227
35307,Voya Mortgage Investment Fund,Fixed Income,North America,0.0935373608029662,1608999940,1,0.850435206886828
35430,ChapelGate Credit Opportunity Fund Ltd - Class A,Fixed Income,Global,0.135131428671741,863000000,1,2.1229727821607
35473,LibreMax Partners LP,Fixed Income,North America,-7.57771524841475e-05,1374000000,1,2.93986345700198
35478,LibreMax Offshore Fund Ltd,Fixed Income,North America,-0.000101539514778951,1374000000,1,2.9352459342563
36410,Prestige Alternative Finance Fund Ltd - USD,Fixed Income,Europe,0.00234235062825724,762000000,1,11.4458524371154
36755,Aristeia International Ltd - Class A,Relative Value,Global,0.0426713822413275,1243000060,1,1.24262438692228
36757,Aristeia Partners LP - Unrestricted,Relative Value,Global,0.0422789463458318,1639000060,1,1.26024025377151
36758,Aristeia International Ltd - Class B,Relative Value,Global,0.0422848670747267,1243000060,1,1.20967946703069
36759,Aristeia Partners LP - Restricted,Relative Value,Global,0.0418871922355182,1639000060,1,1.230117566124
37075,Agora Fund Ltd - USD,Long Short Equities,Europe,-0.0132261997135255,651000000,1,1.35310129378667
37076,Agora LP-B,Long Short Equities,Europe,-0.0282018996308418,651000000,1,1.52544817958047
37585,Structured Alpha 500,Arbitrage,North America,0.162237433349679,1243000060,1,1.03002335267924
37853,Medalist Partners Harvest Fund LP,Multi-Strategy,North America,0.051120478495803,261000000,1,3.34105679756097
37871,Medalist Partners Harvest Fund Ltd,Multi-Strategy,North America,0.0512874360208062,465000000,1,3.34406033985322
37872,TIG Arbitrage Enhanced LP,Arbitrage,Global,0.0952218490261381,538000000,1,1.11821962485934
37873,TIG Arbitrage Enhanced Ltd,Arbitrage,Global,0.0952218490261381,538000000,1,1.11821962485934
37937,ABCA Reversion Fund - Class C USD,Arbitrage,Global,-0.051466191801842,211000000,1,1.43446611039978
38024,III Credit Opportunities Fund LP - Seed Series,Relative Value,North America,0.16194127701416,332000000,1,0.84153651073233
38200,Good Hill Partners Fund LP,Fixed Income,North America,0.123985040709936,382000000,1,1.18260680691902
38375,Serone Key Opportunities Fund - Class A USD,Diversified Debt,Global,0.137744967250304,344000000,1,2.53909692112893
38946,KL Special Opportunities Fund Ltd - Class A USD,Event Driven,Global,-0.0112481984135312,901000000,1,1.11911794660286
39044,The Prism Income Fund - USD Class,Fixed Income,Global,0.00749305601466079,483000000,1,17.7234846411864
39073,Altum Credit Master Fund Ltd,Fixed Income,Global,0.0815029179386773,860000000,1,1.327160758804
39078,Sagil Latin American Opportunities Fund - Class B,Long Short Equities,Latin America,0.191631469717709,544000000,1,0.929575469451856
39221,Guggenheim Partners Opportunistic Investment Grade Securities Fund LLC,Fixed Income,North America,0.0622315944240106,1999000060,1,3.11984741802804
39508,Axonic Credit Opportunities Master Fund,Fixed Income,North America,0.0266115111300286,1248999940,1,4.30466820415564
39600,III Credit Opportunities Fund LP - Series A,Relative Value,North America,0.140329214418384,332000000,1,0.813241017959069
40051,Omni Event Fund Ltd - Class B,Event Driven,Global,-0.029608668088713,1211000060,1,1.77080101656667
40201,Arete Macro Fund,Macro,Global,0.0917611597481741,504000000,1,0.777639243758535
40283,The Alphanatics Fund - E USD,Multi-Strategy,Global,0.00954499860889396,1404999940,1,0.772831615669865
41032,AQR Diversified Arbitrage Fund - Class I,Arbitrage,North America,0.10226128224095,497000000,1,1.14593327845555
41117,AGSF LP,CTA/Managed Futures,North America,-0.0730402042205613,249000000,1,6.12294990313191
41149,Carrhae Capital Fund - Class A1,Long Short Equities,Emerging Markets,0.148468546380941,308000000,1,0.894517204633772
41488,AQR Diversified Arbitrage Fund - Class N,Arbitrage,North America,0.100965256255281,497000000,1,1.02761824822316
41520,Marathon Securitized Credit Fund,Fixed Income,Global,0.0831264959737373,868000000,1,2.52629937870168
41583,Ellington Credit Opportunities Fund Ltd,Fixed Income,Global,-0.0159845636653762,283000000,1,1.78997902835216
41593,Rimrock Structured Product Fund,Fixed Income,Global,0.0442204430771104,159000000,1,1.24439053948133
41594,Paloma International Ltd,Multi-Strategy,Global,0.00915824580345264,4502000130,1,1.05522914011126
41779,Athos Asia Event Driven Fund - Class A,Event Driven,Asia inc Japan,0.0306336382606553,370000000,1,1.35442995241461
41815,Red Cliff Asia Fund - Class B USD,Relative Value,Asia inc Japan,0.0652051948839282,1436999940,1,1.05081703687165
41916,Helium Opportunities Part A - USD,Arbitrage,Global,0.0312333457241281,809000000,1,1.40428803871088
41922,PSAM WorldArb Fund Ltd,Event Driven,Global,0.233589532380366,762000000,1,0.807543304125756
41967,Verition Multi-Strategy Composite Modified Interests Opt-In,Multi-Strategy,Global,0.112318974100682,823000000,1,1.49854234932111
42262,ASM Connaught House Fund LP,Distressed Debt,Asia inc Japan,0.054310940935267,214000000,1,1.14032599800689
42551,Securis Life Fund,Others,Global,-0.0251415712629434,249000000,1,3.80759200666607
42553,RiverPark Floating Rate CMBS Fund - Institutional,Fixed Income,North America,0.0698785897469395,261000000,1,1.3748306084809
42663,Prestige Alternative Finance I-Shares USD,Fixed Income,Europe,-0.00268289030554306,762000000,1,15.8689879481138
42822,Legg Mason BW Alternative Credit Fund - Class IS,Fixed Income,Global,0.0999063687749457,636000000,1,0.871216997205101
43050,Owl Creek Credit Opportunities Fund LP,Event Driven,Global,0.228981520876995,510000000,1,1.41786261422752
43125,Good Hill Overseas Fund Ltd,Fixed Income,North America,0.138811292036962,588000000,1,1.08807861159731
43316,Lynx Plus Fund LP,Fixed Income,North America,0.0649034950953092,311000000,1,1.32444651288427
43372,LibreMax Value Partners LP,Fixed Income,North America,0.0823069729831899,842000000,1,2.91298350305216
43501,Leadenhall Life Insurance Linked Investments Fund Plc USD Accumulating Class Share,Others,Global,-0.00171542027241516,595000000,1,5.44257893803607
43514,Asian Trade Finance Fund - Class A,Fixed Income,Asia inc Japan,-0.00166107465149344,591000000,1,22.6306848265739
43604,ArrowMark Income Opportunity Fund LP,Fixed Income,North America,0.0363331080229429,683000000,1,3.25121300773848
43605,ArrowMark Income Opportunity Fund QP LP,Fixed Income,North America,0.0407233255151396,683000000,1,3.20703663627387
43609,ArrowMark Income Opportunity Fund Ltd,Fixed Income,North America,0.0360424974008775,683000000,1,3.0863649757301
43793,Varadero International Ltd - Tranche 1,Fixed Income,Global,0.0139759095945556,1264999940,1,4.3634560125216
43831,Alcentra Structured Credit Opportunity Fund II - Class I-B USD,Fixed Income,Global,0.110949650534627,358000000,1,2.10108840737595
43872,Carmignac Portfolio Long-Short European Equities - Class F USD Acc Hedge,Long Short Equities,Europe,0.20394746157709,415000000,1,0.757662181057055
44115,BMO Real Estate Equity Market Neutral Fund A USD Acc,Bottom-Up,Europe,0.0191522007866777,335000000,1,0.968499585437558
44161,Varadero International Ltd - Tranche 2,Fixed Income,Global,0.0148502780883196,1264999940,1,4.11258813703492
44436,ChapelGate Credit Opportunity Fund Ltd - Class B,Fixed Income,Global,0.166590892146601,863000000,1,1.96912041413076
44527,Varadero Partners LP - Tranche 1,Fixed Income,Global,0.0175080579220963,1264999940,1,4.40512316770005
44919,Colchis Income Fund LP,Fixed Income,North America,-0.0108579836262583,105000000,1,6.69736977040932
44923,Colchis Income Fund Ltd,Fixed Income,North America,-0.0108579836262583,718000000,1,6.69736977040932
45262,SPQ Asia Opportunities Fund,Long Short Equities,Greater China,-0.0175090447703455,150000000,1,1.21552960418342
45884,Old Orchard Credit Master Fund LP,Fixed Income,North America,0.0926533755906078,677000000,1,1.81431618188215
46455,Luxembourg Life Fund - Long Term Growth Fund - B Class,Fixed Income,Global,-0.0342425070574968,1572000000,1,12.9638002629159
46457,Luxembourg Life Fund - Long Term Growth Fund - G Class,Fixed Income,Global,-0.0245768314051841,1572000000,1,14.4043163613229
46459,Luxembourg Life Fund - Long Term Growth Fund - K Class,Fixed Income,Global,-0.0385219356466344,1572000000,1,12.8253379661167
46575,TT International Fund (TT Feeder) - Class B USD,Macro,Global,0.128068353097129,224000000,1,1.70043325819458
47244,Ellington Mortgage Opportunities Fund Ltd,Relative Value,North America,0.0436194218520854,381000000,1,1.69292341128521
47684,FengHe Asia Fund,Long Short Equities,Asia ex Japan,0.0481859550784334,826000000,1,1.77434654778192
48777,MontLake Mygale Event Driven UCITS Fund - USD Institutional Class,Event Driven,Europe,0.0499214081572369,369000000,1,1.08834997002126
48906,Promeritum Fund SPC - Class A,Fixed Income,Emerging Markets,0.078084154905742,351000000,1,1.70829861175763
49074,Crawford Lake Offshore Partners Ltd,Long Short Equities,North America,0.139761641798074,363000000,1,1.36047367832824
49155,BlackRock Systematic Multi-Strategy Fund - Class Institutional,Multi-Strategy,North America,0.0982289337863087,351000000,1,1.49066340966013
49157,BlackRock Systematic Multi-Strategy Fund - Investor Class A,Multi-Strategy,North America,0.0986317993012215,351000000,1,1.32619407077737
49158,BlackRock Systematic Multi-Strategy Fund - Investor Class C,Multi-Strategy,North America,0.0932467356590703,351000000,1,0.96626294326707
49174,OCCO Eastern European Fund - Class A USD R,Long Short Equities,Emerging Markets,-0.0254285427079861,373000000,1,2.00979607796257
49180,OCCO Eastern European Fund - Class C USD R,Long Short Equities,Emerging Markets,-0.0242910615225326,373000000,1,1.71456669963115
49183,OCCO Eastern European Fund - Class C USD,Long Short Equities,Emerging Markets,-0.0189851711810075,373000000,1,1.76358788735025
49187,OCCO Eastern European Fund - Class D USD R,Long Short Equities,Emerging Markets,-0.0216896552562775,373000000,1,2.01248435397598
49189,OCCO Eastern European Fund - Class D USD,Long Short Equities,Emerging Markets,-0.0167695216319159,373000000,1,2.08428941200546
49280,Orchard Landmark,Others,Asia ex Japan,0.0249908379287485,1499000060,1,2.30369060948495
49300,Montlake Angel Oak Multi-Strategy Income UCITS Fund - USD Institutional Class Accumulating,Bottom-Up,North America,0.0316102836455874,730000000,1,1.6333444230442
49609,Montlake Angel Oak Multi-Strategy Income UCITS Fund - USD Institutional Class Founder,Bottom-Up,North America,0.0315711183347557,730000000,1,1.89667647769944
51284,Covalis Capital Master Fund - Class A,Long Short Equities,Global,0.013073569238171,407000000,1,0.908824585382353
53581,Lumyna - Ramius Merger Arbitrage UCITS Fund - Class USD B Acc,Event Driven,Europe,0.0491142275909189,356000000,1,0.92836320226665
53590,Lumyna - Ramius Merger Arbitrage UCITS Fund - Class USD D Acc,Event Driven,Europe,0.0550909598641942,356000000,1,1.09011633464841
54001,Covalis Capital Enhanced Fund,Long Short Equities,Global,-0.00803604428065155,338000000,1,0.776038970791148
54644,Agora Fund Ltd - USD I,Long Short Equities,Europe,0.0123130770411201,651000000,1,1.37372947695121
55169,China Orient Enhanced Income Fund,Fixed Income,Global,0.0953182704986969,851000000,1,2.15034846218498
55503,Arena Special Opportunities Fund LP,Multi-Strategy,Global,0.0323158102611575,1151000060,1,2.92481315938661
55579,Vida Longevity Fund LP,Others,North America,0.0189826271484057,2371000060,1,2.24783021350119
55616,LH Asian Trade Finance Fund Ltd - Class B,Others,Asia ex Japan,0.00412044134445015,159000000,1,6.81381612590066
56029,Sabrepoint Capital Partners LP,Long Short Equities,North America,0.208195856110169,258000000,1,1.12327011291707
56156,ChapelGate Credit Opportunity Fund Ltd - Class C,Fixed Income,Global,0.181609942684839,863000000,1,1.89406280844202
56211,Regan Credit Opportunities Fund LP,Fixed Income,North America,0.0424626976522361,305000000,1,3.50760849987228
56274,Shannon River LP,Long Short Equities,Global,0.229965810805868,422000000,1,1.00336516320429
56401,Asian Trade Finance Fund - Class B,Fixed Income,Asia inc Japan,0.00103396730858343,591000000,1,26.3436709735892
56710,Mariner Atlantic Ltd,Multi-Strategy,Global,0.0671128674354868,750000000,1,2.43324620167118
57022,ArrowMark Income Opportunity Fund QP Ltd,Fixed Income,North America,0.0281449086236156,683000000,1,2.9282223891259
57367,Polygon Convertible Opportunity Master Fund - Class D,Relative Value,Global,0.0385485556064168,626000000,1,1.00140873384395
57541,Hudson Cove Credit Opportunity Master Fund LP,Fixed Income,Global,0.0125879294928915,460000000,1,12.0980108386746
58316,Bayview Liquid Credit Strategies Master Fund LP,Fixed Income,North America,0.199174032088369,1047000000,1,0.75451482196404
58339,Axonic Special Opportunities SBL Master Fund LP,Fixed Income,North America,0.06415988409772,1159000060,1,3.59291591303759
58554,NB Insurance-Linked Strategies Fund LP,Fixed Income,Global,-0.0309219382644889,1308999940,1,0.892382474755925
58583,Shrewsbury River Capital CMBS Event-Driven Fund,Event Driven,North America,0.04894887141667,281000000,1,2.65249547088777
