FundID,FundName,FundStyle,GeoMandate,Beta,AUM,AUM_Increase,pAlphaSrp_3yr
5584,Graham Global Investment Fund Ltd - Proprietary Matrix Series A,Multi-Strategy,Global,0.0406413019004584,873000000,1,0.787654691720203
5776,Sandler Offshore Fund,Long Short Equities,North America,0.0404586400384938,109000000,1,0.949075841890641
6300,Owl Creek II LP,Event Driven,Global,0.238734567308505,541000000,1,0.894761023816622
6357,Quantitative Global Program,CTA/Managed Futures,Global,-0.0287710330453046,2087000060,1,1.21339734113612
6503,Sandler Associates,Long Short Equities,North America,0.0415204075095715,151000000,1,1.01177228412247
6540,KWK Partners LP,Arbitrage,North America,0.017733168750491,206000000,1,4.95363993468443
6735,Brookdale International Partners LP,Arbitrage,Global,0.059137067268799,724000000,1,2.81073026709184
6759,Caymus Energy Fund LP,Long Short Equities,North America,0.127470533334573,137000000,1,0.890925203373342
6856,Brookdale Global Opportunity Fund,Arbitrage,Global,0.0537087062496838,426000000,1,2.66308022570339
7216,Parallax Fund LP,Relative Value,Global,-0.26768293672409,823000000,1,1.90141228036368
7707,Aspect Diversified Fund - Class A USD,CTA/Managed Futures,Global,-0.135722665188445,711000000,1,0.858689241556645
7895,UFG Russia Select,Long Short Equities,Eastern Europe & Russia,0.0577174018796607,101000000,1,1.46377607177475
8858,Stratus Fund Ltd - Class B Shares (USD Standard Leverage),Multi-Strategy,Global,0.0460881700126488,237000000,1,1.09709727126351
9328,The Cassiopeia Fund - Class B USD,Relative Value,Global,-0.00755989455422644,325000000,1,1.01410694061006
9399,Beach Horizon Fund Ltd - USD,CTA/Managed Futures,Global,-0.303174313953809,108000000,1,0.952411709616189
9457,Stratus Fund Ltd - Class C Shares (USD 1.5x Leverage),Multi-Strategy,Global,0.0856155403869601,237000000,1,1.09456369873913
9513,Janus Henderson Octanis Fund - Class A USD,Long Short Equities,Global,0.0753646480776248,125000000,1,1.07510566297092
10074,The Merchant Commodity Fund,CTA/Managed Futures,Global,-0.0842878869135773,214000000,1,0.782604708680777
14425,Paloma Partners LLC,Multi-Strategy,Global,0.146133920594782,5575000060,1,1.83517211566077
15541,Graham Global Investment Fund II SPC Ltd - Proprietary Matrix Segregated Portfolio Series A,Multi-Strategy,Global,0.0406413019004584,873000000,1,0.787654691720203
15849,Finisterre Global Opportunity Fund,Multi-Strategy,Emerging Markets,0.195620582317612,1478000000,1,0.815986558163047
16685,Quantitative Global 3x Fund LLC,CTA/Managed Futures,Global,-0.113527995404241,399000000,1,1.25058604939228
16698,Waterfall Eden Fund LP,Distressed Debt,Global,0.0390233332794015,2496999940,1,1.5992793887628
17492,LH Asian Trade Finance Fund Ltd - Class A,Others,Asia ex Japan,0.00220941027179561,385000000,1,11.3996554410081
18073,Tenor Opportunity Fund,Arbitrage,North America,0.195502567220029,590000000,1,1.4431266595307
18606,Sector Healthcare Fund - Class A USD,Long Short Equities,Global,0.0549104541013694,633000000,1,1.74722121266662
21862,Millburn Multi-Markets Trading LP,CTA/Managed Futures,Global,-0.105940777294586,397000000,1,1.59301138293348
22848,Waterfall Eden Fund Ltd,Distressed Debt,Global,0.0415813131768315,2496999940,1,1.83940552923008
23024,Sandler Plus Domestic Fund LP,Long Short Equities,North America,0.0991279726293506,207000000,1,0.95671124192791
23025,Sandler Plus Offshore Fund Ltd,Long Short Equities,North America,0.0986490374439408,164000000,1,0.917934978420573
25223,Segantii Asia-Pacific Equity Multi-Strategy Fund,Multi-Strategy,Asia inc Japan,-0.0206483805584225,2047000060,1,1.69806652575457
25442,Harvest Small Cap Partners,Long Short Equities,North America,-0.080074697403031,439000000,1,1.56920477449817
26387,Pinpoint Multi-Strategy Master Fund - Class A,Multi-Strategy,Asia inc Japan,0.165949128021817,353000000,1,1.15257413916676
26915,DUNN World Monetary and Agriculture (WMA) Program,CTA/Managed Futures,Global,-0.366952554030294,603000000,1,0.945252710879255
26954,Revolution Capital Management Alpha Program,CTA/Managed Futures,Global,-0.107356196193394,476000000,1,0.914511691873827
27047,Waterfall Victoria Fund LP,Distressed Debt,Global,0.0122438823347065,748000000,1,3.78749425421443
27049,Waterfall Victoria Fund Ltd,Distressed Debt,Global,0.0198824484635481,748000000,1,3.58183771517734
27258,AAM Absolute Return Fund Plc - USD,Long Short Equities,Global,-0.208012011703694,191000000,1,1.18797194062424
27501,The Kawa Offshore Feeder Fund,Multi-Strategy,Global,0.0756752293525712,262000000,1,1.04604846338271
27712,Green Court Greater China Long/Short Equity Fund Ltd,Long Short Equities,Greater China,0.164366809471732,177000000,1,1.15109305594293
28209,W Financial Fund LP,Others,North America,0.018946586397324,258000000,1,20.0679959270774
28215,Victory Arcadia Fund - Class A USD,Others,Global,-0.0165429975206066,508000000,1,3.52627670042512
28523,UMJ Kotoshiro Fund - USD,Long Short Equities,Japan,0.184716827874313,320000000,1,1.00886504839232
28538,CS IRIS Low Volatility - QI USD,Others,Global,0.0143955620932095,1364000000,1,5.43282847410791
